pKa,Particle size (mm),Acid concentration (M),Cu in feed (%),Temperature (°C),Leaching time (min),Pulp density (g/L),Agitation speed (rpm),% Cu Recovery
1.4000000000000001,1.1070000000000002,1.0,17.55666666666667,23.0,1440.0,20.0,126.66666666666667,12.0
-1.4000000000000001,1.2,1.0,20.0,50.0,1440.0,20.0,1440.0,98.6
-1.4000000000000001,1.4999999999999998,1.0,41.766666666666666,90.0,360.0,99.99999999999999,763.3333333333333,97.6
-1.4000000000000001,0.6333333333333335,0.1,47.11000000000001,80.0,4320.0,20.0,124.99999999999997,74.0
-1.4000000000000001,1.2,0.1,37.599999999999994,80.0,4320.0,20.0,969.9999999999999,98.0
1.4000000000000001,0.205,1.0,43.6,40.0,59.99999999999999,99.99999999999999,490.0,98.7
-1.4000000000000001,0.205,2.0,51.8,40.0,59.99999999999999,99.99999999999999,490.0,100.0
-1.4000000000000001,0.208,4.09,2.85,60.0,119.99999999999999,99.99999999999999,126.66666666666667,24.1
-3.0,0.205,0.1,43.6,25.0,119.99999999999999,99.99999999999999,490.0,46.0
-3.0,0.208,1.09,2.85,60.0,119.99999999999999,99.99999999999999,260.0,0.0
-3.0,0.205,2.0,51.8,50.0,59.99999999999999,99.99999999999999,490.0,100.0
-3.0,0.265,3.0,51.8,40.0,59.99999999999999,99.99999999999999,490.0,100.0
-3.0,0.205,2.0,43.6,40.0,59.99999999999999,99.99999999999999,490.0,98.7
-1.4000000000000001,0.205,1.0,43.6,40.0,59.99999999999999,99.99999999999999,490.0,98.7
-1.1999999999999997,0.15,0.8,20.36,70.0,119.99999999999999,40.0,249.99999999999997,99.9
-1.1999999999999997,0.12,1.5,19.62,60.0,90.0,49.99999999999999,249.99999999999997,97.5
-1.1999999999999997,0.1,2.0,10.25,50.0,59.99999999999999,30.0,249.99999999999997,93.2
-1.1999999999999997,0.075,3.0,6.75,50.0,59.99999999999999,24.999999999999996,249.99999999999997,91.5
-1.1999999999999997,0.25,2.0,10.25,60.0,119.99999999999999,49.99999999999999,300.0,95.6
-1.1999999999999997,0.2,2.5,12.73,70.0,90.0,59.99999999999999,280.0,97.0
-1.1999999999999997,0.18,1.0,8.32,50.0,119.99999999999999,45.0,270.0,89.4
-1.4000000000000001,2.0,3.0,19.34,75.0,119.99999999999999,75.0,606.6666666666666,91.58
-1.4000000000000001,2.0,3.0,19.34,75.0,239.99999999999997,75.0,1440.0,99.99
-1.4000000000000001,2.0,1.5,19.34,75.0,180.0,99.99999999999999,450.0,95.3
-1.4000000000000001,2.0,2.5,19.34,75.0,150.0,99.99999999999999,450.0,98.2
-1.4000000000000001,2.0,2.0,30.57,30.0,180.0,30.000000000000004,200.0,76.12
-1.4000000000000001,2.0,2.0,30.57,30.0,360.0,99.99999999999999,200.0,90.0
-1.4000000000000001,0.25,5.0,11.2,70.0,119.99999999999999,59.99999999999999,350.0,99.7
-1.4000000000000001,0.25,3.0,11.2,70.0,119.99999999999999,59.99999999999999,350.0,88.5
1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,293.33333333333337,96.02
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,97.04
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.69
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.78
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,97.52
-1.4000000000000001,0.5,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.78
-1.4000000000000001,0.5,1.5,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.99
-1.4000000000000001,0.5,1.5,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.8
-1.4000000000000001,0.5,2.0,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.85
-1.4000000000000001,0.5,2.5,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.9
1.4000000000000001,2.0,2.0,30.57,30.0,180.0,60.00000000000001,200.0,76.12
-3.0,2.0,3.0,19.34,75.0,119.99999999999999,75.0,166.66666666666669,91.58
-3.0,2.0,3.0,19.34,75.0,239.99999999999997,75.0,1440.0,99.99
-3.0,2.0,1.5,19.34,75.0,180.0,99.99999999999999,450.0,95.3
-3.0,2.0,2.5,19.34,75.0,150.0,99.99999999999999,450.0,98.2
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.02
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,300.0,99.99999999999999,673.3333333333333,99.8
1.4000000000000001,0.045,0.1,18.34,25.0,59.99999999999999,40.0,249.99999999999997,50.0
-1.4000000000000001,0.045,0.12000000000000001,18.34,25.0,59.99999999999999,40.0,249.99999999999997,77.2
-1.4000000000000001,0.045,0.2,18.34,25.0,59.99999999999999,40.0,249.99999999999997,95.0
-1.4000000000000001,0.045,0.25,18.34,25.0,59.99999999999999,40.0,249.99999999999997,95.0
-1.4000000000000001,0.045,0.4,18.34,25.0,59.99999999999999,40.0,249.99999999999997,95.0
